Disipador,filas,columnas,Nodos,Elementos,Ke (kN/mm),Kp (kN/mm),kp/ke,ke/kp,dy (mm),Py (kN),dmax (+) (mm),Pmax (+) (kN),Pmax/dmax,dmax (-) (mm),Pmin (-) (kN),mu,Ciclos soportados,Volumen mm^3,Energía disipada total [J],desplazamiento acumulado,Energía/desp acum,Energía disipada total por volumen [J/mm³],H (mm),coef H/dmax,angulo
3x3,3,3,31427,4908,1.9578,0.0857,0.043773623,,1.725869345,3.378907003,10,4.0806,0.40806,-10,-4.0975,5.794181368,18,33905.243,717.5617025,366,1.9605511,0.021163739,140.474,14.0474,0.071067663
4x4,4,4,52370,8208,1.9671,0.095,0.048294444,,2.282677207,4.490254335,14,5.5783,0.39845,-14,-5.6103,6.133149249,21,58403.987,1411.083928,534,2.642479266,0.024160747,185.966,13.28328571,0.07514084
5x5,5,5,79008,12408,1.9674,0.1001,0.050879333,,2.859047823,5.624890687,17.5,7.0384,0.402194286,-17.5,-7.0712,6.12091895,24,89501.229,2501.775467,744,3.362601435,0.027952415,231.457,13.22611429,0.075464416
6x6,6,6,111959,17664,1.9642,0.1033,0.052591386,,3.439303563,6.755480058,22.5,8.6283,0.38348,-22.5,-8.6577,6.542022124,25,127196.97,3255.355136,834,3.90330352,0.025593024,276.948,12.3088,0.081064649
3x3,3,3,31427,4908,1.9578,0.0857,0.043773623,,1.725869345,3.378907003,10,4.0806,0.40806,-10,-4.0975,5.794181368,18,33905.243,717.5617025,366,1.9605511,0.021163739,140.474,14.0474,0.071067663
4x3,4,3,40618,6372,1.2799,0.071,0.055473084,,2.353709984,3.012513409,14,3.8172,0.272657143,-14,-3.8325,5.948056512,19,44504.99,661.0558141,422,1.566482972,0.014853521,185.966,13.28328571,0.07514084
5x3,5,3,49728,7816,0.902,0.0658,0.072949002,,2.947739775,2.658861277,14,3.3581,0.239864286,-14,-3.3717,4.749401598,21,55104.738,721.7678313,534,1.351625152,0.013098108,231.457,16.53264286,0.060412793
6x3,6,3,58857,9264,0.6656,0.0528,0.079326923,,3.624673629,2.412582768,17.5,3.1057,0.177468571,-17.5,-3.1144,4.82802089,24,65704.485,951.442676,744,1.278820801,0.014480635,276.948,15.8256,0.063104858
3x3,3,3,31427,4908,1.9578,0.0857,0.043773623,,1.725869345,3.378907003,10,4.0806,0.40806,-10,-4.0975,5.794181368,18,33905.243,717.5617025,366,1.9605511,0.021163739,140.474,14.0474,0.071067663
3x4,3,4,40593,6352,2.9312,0.1142,0.038960153,,1.669258076,4.892929272,14,6.2893,0.449235714,-14,-6.3111,8.386959573,19,44504.99,1300.361636,422,3.081425678,0.029218333,140.474,10.03385714,0.099334553
3x5,3,5,49693,7788,3.9026,0.1487,0.038102803,,1.635206052,6.38155514,14,8.2134,0.586671429,-14,-8.2406,8.561612146,19,55104.738,1722.324563,422,4.081337827,0.031255471,140.474,10.03385714,0.099334553
3x6,3,6,58892,9236,4.8808,0.1883,0.038579741,,1.606819393,7.842564092,14,10.179,0.727071429,-14,-10.204,8.712864721,19,65704.485,2144.123523,422,5.08086143,0.032632834,140.474,10.03385714,0.099334553
8x4,8,4,100508,15840,0.6949,0.0451,0.064901425,,5.060634041,3.516634595,27.5,4.4868,0.163156364,-27.5,-4.5002,5.434101691,30,113999.974,2687.602603,1344,1.999704318,0.023575467,,0,#¡DIV/0!
7x8,7,8,171011,27016,2.3237,0.104,0.044756208,,4.14830833,9.639424066,27.5,12.003,0.436472727,-27.5,-12.063,6.629208297,30,195287.954,8083.432237,1344,6.01445851,0.041392375,,0,#¡DIV/0!
4x7,4,7,88484,13932,4.0359,0.1746,0.043261726,,2.205578432,8.901493994,14,10.924,0.780285714,-14,-10.964,6.347541215,20,100100.977,2470.676487,478,5.168779263,0.024681842,185.966,13.28328571,0.07514084
